[kapil@archlinux ~]$ pacman -Q
openimagedenoise 2.3.3-3
openimageio 3.1.8.0-3
openjpeg2 2.5.4-1
openpgl 0.7.1-1
openshadinglanguage 1.14.8.0-2
openssh 10.2p1-2
openssl 3.6.0-1
opensubdiv 3.7.0-1
opentimelineio 0.18.1-2
openvdb 12.1.1-3
openxr 1.1.54-1
opus 1.6.1-1
opusfile 0.12-4
orc 0.4.41-1
p11-kit 0.25.10-2
pacman 7.1.0.r9.g54d9411-1
pacman-contrib 1.13.1-1
pacman-mirrorlist 20251021-1
pam 1.7.1-1
pambase 20250719-1
pango 1:1.57.0-2
pangomm-2.48 2.56.1-1
parted 3.6-2
passim 0.1.10-1
patch 2.8-1
pavucontrol 1:6.2-1
pciutils 3.14.0-1
pcre 8.45-4
pcre2 10.47-1
pcsclite 2.4.1-1
perl 5.42.0-1
perl-error 0.17030-3
perl-mailtools 2.22-3
perl-timedate 2.33-9
phonon-qt6 4.12.0-5
phonon-qt6-vlc 0.12.0-5
pinentry 1.3.2-2
pipewire 1:1.4.9-2
pipewire-alsa 1:1.4.9-2
pipewire-audio 1:1.4.9-2
pipewire-jack 1:1.4.9-2
pipewire-pulse 1:1.4.9-2
pixman 0.46.4-1
pkgconf 2.5.1-1
plasma-activities 6.5.5-1
polkit 127-3
polkit-gnome 0.105-12
polkit-kde-agent 6.5.5-1
polkit-qt6 0.200.0-1
poppler 26.01.0-1
poppler-data 0.4.12-2
poppler-qt6 26.01.0-1
popt 1.19-2
portaudio 1:19.7.0-3
portmidi 1:2.0.8-1
portsmf 234-3
potrace 1.16-4
power-profiles-daemon 0.30-1
powertop 2.15-2
procps-ng 4.0.5-3
protobuf 33.1-3
protobuf-c 1.5.2-8
psmisc 23.7-1
ptex 2.5.1-1
pugixml 1.15-2
purpose 6.22.0-1
pybind11 3.0.1-2
pyside6 6.10.1-2
pystring 1.1.4-2
python 3.14.2-2
python-aaf2 1.7.1-4
python-attrs 25.4.0-3
python-autocommand 2.2.2-9
python-cairo 1.29.0-2
python-cffi 2.0.0-2
python-charset-normalizer 3.4.4-2
python-cryptography 46.0.3-2
python-dateutil 2.9.0-8
python-dbus 1.4.0-2
python-filelock 3.20.3-1
python-gobject 3.54.5-2
python-idna 3.11-2
python-jaraco.collections 5.1.0-3
python-jaraco.context 6.0.1-3
python-jaraco.functools 4.1.0-3
python-jaraco.text 4.0.0-4
python-jinja 1:3.1.6-3
python-markupsafe 3.0.2-2
python-more-itertools 10.8.0-2
python-numpy 2.4.1-1
python-opengl 3.1.10-3
python-packaging 25.0-4
python-pandas 2.3.3-1
python-pip 25.3-3
python-platformdirs 4.5.1-3
python-pycparser 2.23-2
python-pygame 2.6.1-3
python-pytz 2025.2-2
python-pyxdg 0.28-7
python-requests 2.32.5-3
python-setuptools 1:80.9.0-4
python-six 1.17.0-2
python-urllib3 2.6.3-1
python-wheel 0.45.1-4
qca-qt6 2.3.10-4
qoi r350.4461cc3-1
qqc2-desktop-style 6.22.0-1
qrcodegencpp-cmake 1.8.0-4
qrencode 4.1.1-4
qt5-base 5.15.18+kde+r109-2
qt5-declarative 5.15.18+kde+r23-1
qt5-translations 5.15.18-1
qt5-wayland 5.15.18+kde+r55-1
qt5-x11extras 5.15.18-1
qt6-5compat 6.10.1-1
qt6-base 6.10.1-1
